label,seed,protocol,wdr_mean_rate,gaba_mean_rate,wdr_peak_rate,wdr_isi_mean,wdr_isi_std,wdr_isi_cv,gaba_isi_mean,gaba_isi_std,gaba_isi_cv,wdr_windup_ratio,wdr_evoked_response,wdr_early_rate,wdr_late_rate,wdr_burst_count,wdr_burst_fraction,ei_ratio,wdr_active_fraction,wdr_total_spikes,gaba_total_spikes
healthy,2089760399,ramp,0.02,54.2,2.0,0.0,0.0,0.0,17.748496240601504,8.168731506815302,0.4602492175155939,0.0,0.0,0.0,0.1,0.0,0.0,0.00036900369003690036,0.02,1.0,1626.0
healthy,1118887813,ramp,19.7,10.066666666666666,94.0,32.94737967914438,33.0518647864412,1.0031712721410424,59.28014705882354,60.20950838512448,1.0156774463696714,0.0,0.0,0.0,31.5,43.0,0.150253807106599,1.9569536423841059,1.0,985.0,302.0
healthy,318275186,burst,0.04,3.7,2.0,0.0,0.0,0.0,249.35432098765432,197.08166199236993,0.7903679439432195,0.0,0.0,0.0,0.2,0.0,0.0,0.01081081081081081,0.02,2.0,111.0
healthy,389700053,mixed,0.0,182.16666666666666,0.0,0.0,0.0,0.0,5.462502299908004,1.0654667979176125,0.1950510479300954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5465.0
healthy,1818874729,constant,0.0,65.13333333333334,0.0,0.0,0.0,0.0,15.20093555093555,7.229951069816296,0.47562540118600294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0
healthy,537972943,mixed,0.0,155.26666666666668,0.0,0.0,0.0,0.0,6.405942091616249,1.567400075765893,0.24467908909404934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4658.0
healthy,2004082945,mixed,0.02,137.96666666666667,2.0,0.0,0.0,0.0,7.204307617425164,1.917455379261951,0.26615401244446774,0.2,0.01,0.1,0.0,0.0,0.0,0.0001449625513409036,0.02,1.0,4139.0
healthy,1989583993,ramp,0.0,65.13333333333334,0.0,0.0,0.0,0.0,15.181237006237005,7.712934725983306,0.5080570656274289,0.04,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0
healthy,1140349287,constant,0.0,61.2,0.0,0.0,0.0,0.0,16.056035437430786,6.746205578590103,0.4201663358853174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.0
healthy,1805725311,mixed,0.0,149.23333333333332,0.0,0.0,0.0,0.0,6.635664492916573,1.6501557743057402,0.24867980833980463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4477.0
